date,year,month,day,price_per_pound
1725-11-12,1725,11,12,0.17989690721649484
1726-08-28,1726,8,28,0.19971882192012547
1727-10-27,1727,10,27,0.1767206256906297
1728-04-19,1728,4,19,0.10534420289855072
1731-11-12,1731,11,12,0.1595888050786321
1732-11-17,1732,11,17,0.14264455089657413
1733-11-16,1733,11,16,0.1299478995541002
1734-04-27,1734,4,27,0.08252595155709343
1734-11-15,1734,11,15,0.1248493298645601
1735-10-31,1735,10,31,0.10206690887055024
1737-04-29,1737,4,29,0.060759463027764124
1739-11-01,1739,11,1,0.07764527761020172
1740-11-21,1740,11,21,0.0856953123176938
1741-11-20,1741,11,20,0.06317554163792571
1742-11-26,1742,11,26,0.07038485048805225
1743-11-21,1743,11,21,0.07064269247603977
1744-03-30,1744,3,30,0.0683791591634453
1744-11-02,1744,11,2,0.07528991318751992
1745-11-15,1745,11,15,0.1184550245123184
1746-10-31,1746,10,31,0.13322235188734247
1747-10-09,1747,10,9,0.10633796216363224
1747-11-27,1747,11,27,0.12122832990549696
1755-11-10,1755,11,10,0.08396709872604162
1756-11-15,1756,11,15,0.0830145606354209
1757-11-28,1757,11,28,1.8267396785863446
1758-11-27,1758,11,27,0.07940612247139159
1759-11-19,1759,11,19,0.10249664481462818
1760-11-17,1760,11,17,0.06967421175973461
1761-11-09,1761,11,9,0.06744593677197218
1762-11-22,1762,11,22,0.07553320967401642
1763-12-08,1763,12,8,0.08062803718767228
1764-11-19,1764,11,19,0.08276001804446337
1765-11-11,1765,11,11,0.07195612568925618
1766-11-03,1766,11,3,0.06905198734081937
1772-11-09,1772,11,9,0.08799998540577764
1773-11-22,1773,11,22,0.0785813126864691
1774-11-28,1774,11,28,0.06450926301322316
1775-10-23,1775,10,23,0.0547647731598292
1776-11-25,1776,11,25,0.05944013826332519
